Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3604.305,0.103445551,0.095134489,0.089127071,0.084708789,0.079406124,0.079946002,0.074555409,0.065869393,0.062084213,0.056694417,0.055427981,0.043294893,0.040830072,0.042760197,0.049456404,0.053503166
3604.787,0.10273088,0.094526952,0.088627681,0.08435397,0.079192428,0.079431323,0.07430568,0.06602394,0.06248777,0.056801797,0.055860563,0.043785888,0.041448174,0.043315438,0.049515098,0.053234204
3605.269,0.101965636,0.09388516,0.088120751,0.084020984,0.07903357,0.078920255,0.074119455,0.066326876,0.063104999,0.057031409,0.056537055,0.044524102,0.042348332,0.044125486,0.049667175,0.052945867
3605.751,0.101183831,0.09323631,0.087628182,0.083715816,0.078920123,0.078442791,0.073993441,0.066744966,0.063879328,0.057408331,0.05741935,0.045485473,0.043484617,0.045165602,0.050007628,0.052801844
3606.234,0.100422708,0.092603343,0.087163867,0.083433312,0.078828674,0.078016884,0.073907044,0.067209911,0.064711522,0.057929137,0.058417268,0.046591821,0.044751128,0.046355223,0.050593883,0.052945769
3606.716,0.099707228,0.091997701,0.086728658,0.083154964,0.078723973,0.0776373,0.073815839,0.067630401,0.065471785,0.058542836,0.059396183,0.047710799,0.045986936,0.047556669,0.051415353,0.05344883
3607.198,0.099037716,0.09140809,0.086299435,0.082846998,0.078557416,0.077264049,0.073654545,0.067900831,0.066018945,0.059156016,0.060195565,0.048673868,0.04699967,0.048592105,0.052375531,0.05426742
3607.68,0.098388925,0.090802767,0.085838864,0.08246283,0.07828113,0.076829348,0.07335255,0.067927546,0.066238099,0.059647329,0.060670719,0.049313384,0.047608922,0.049280046,0.05330102,0.0552379
3608.162,0.097715817,0.090138575,0.085300084,0.081966519,0.07786039,0.076251911,0.072851367,0.067657898,0.066075673,0.059891427,0.060729283,0.049505438,0.047697173,0.04948464,0.053970071,0.056090918
3608.644,0.09697073,0.089379279,0.084649651,0.081340852,0.07729022,0.075463379,0.072124708,0.067100027,0.065562849,0.059794743,0.060364039,0.049210492,0.047248601,0.049151337,0.054164303,0.056513081
3609.126,0.096124418,0.08851124,0.083878473,0.080601501,0.076598746,0.074433549,0.071192484,0.066326876,0.06481117,0.059323785,0.059656084,0.048488902,0.046359913,0.048331287,0.053736174,0.056239505
3609.608,0.095175511,0.087549364,0.083005219,0.079788115,0.075839078,0.073184302,0.070113496,0.065450207,0.063971892,0.058517133,0.058749024,0.047479305,0.045207313,0.047163447,0.052656706,0.055144863
3610.091,0.094154589,0.086536344,0.082074568,0.078959623,0.075074905,0.071788393,0.068973096,0.0645882,0.063190116,0.057473912,0.057801935,0.046357032,0.043995335,0.045837184,0.051036356,0.05329461
3610.573,0.093107996,0.085523065,0.08113736,0.078167176,0.074358814,0.070344015,0.067855588,0.063830598,0.062563011,0.056318533,0.056940406,0.045277343,0.042890444,0.044529401,0.049072528,0.050901624
3611.055,0.092085127,0.084556284,0.080237609,0.077445261,0.073717726,0.068945436,0.066824424,0.063217629,0.062120153,0.055154431,0.056229752,0.044333695,0.041987962,0.04336161,0.046978139,0.048241182
3611.537,0.091129944,0.08367407,0.07940678,0.07680716,0.073156303,0.06767342,0.065916713,0.062741153,0.06182912,0.05404729,0.055664832,0.043549252,0.041296837,0.042376583,0.044927465,0.045571416
3612.019,0.090276607,0.082898282,0.078663848,0.076247996,0.072655531,0.06658256,0.065144477,0.062351291,0.061609605,0.0530157,0.055186095,0.042879782,0.040753637,0.041550718,0.043039163,0.043099621
3612.501,0.089557872,0.082251816,0.078025678,0.075757135,0.072191947,0.065713211,0.064506305,0.061982455,0.061361855,0.052059452,0.054709072,0.042254044,0.040261015,0.040822912,0.041392565,0.040987252
