Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3876.219,0.039882486,0.04264468,0.041643044,0.040820662,0.038626811,0.032853221,0.031648543,0.028554601,0.028163501,0.020798912,0.020053147,0.016704512,0.016292585,0.017831053,0.02151381,0.023359222
3876.701,0.039938694,0.042694205,0.041689001,0.040853798,0.0386939,0.033061126,0.031844027,0.028757375,0.028373509,0.021311322,0.020415068,0.017165061,0.016759752,0.018394087,0.022381198,0.024389792
3877.183,0.039931955,0.042700246,0.041701758,0.04088367,0.038790779,0.033194404,0.032051625,0.029066452,0.028764359,0.021783867,0.020896995,0.017750776,0.01739173,0.019052286,0.023044484,0.025032092
3877.666,0.039866717,0.042670872,0.041693663,0.040926236,0.038930997,0.033266836,0.032280089,0.029497405,0.029347758,0.022214684,0.021513618,0.018467358,0.018198318,0.01981352,0.023496295,0.025265089
3878.147,0.039742717,0.042607913,0.041672811,0.040991028,0.039117904,0.033285314,0.032527283,0.030048017,0.030110958,0.022579411,0.022254196,0.019291949,0.019160677,0.020655401,0.023710692,0.025058483
3878.63,0.03956981,0.042517597,0.0416495,0.041082736,0.03934546,0.033258618,0.032782263,0.030692884,0.031006343,0.022854944,0.023082755,0.020173614,0.02022157,0.021529971,0.023683673,0.0244395
3879.112,0.03937549,0.042418216,0.041637921,0.04120034,0.039594636,0.033213801,0.033032917,0.03137505,0.03194111,0.02303756,0.023927702,0.021036528,0.021287838,0.022371946,0.023478762,0.023557748
3879.594,0.039205583,0.042338311,0.041655443,0.041337418,0.039838431,0.033196752,0.033267998,0.03201397,0.032786696,0.023157407,0.024697707,0.021795493,0.022243108,0.023114633,0.023235998,0.022688511
3880.076,0.039102376,0.042302054,0.041712978,0.041476993,0.040042339,0.033247286,0.033473458,0.032519873,0.033412007,0.023260141,0.025296394,0.022370382,0.022972525,0.023696026,0.023116549,0.02213386
3880.558,0.039082839,0.042315483,0.041799974,0.041593986,0.040179004,0.033373877,0.033630772,0.032828698,0.033733219,0.023373747,0.025658214,0.022708134,0.023399394,0.024070976,0.023212395,0.022069485
3881.04,0.039128647,0.042358956,0.041891477,0.04166464,0.040232341,0.033542222,0.033720448,0.032924415,0.033751571,0.023497571,0.025770527,0.022805319,0.023518291,0.024229226,0.023505016,0.022468908
3881.522,0.039209757,0.042410323,0.04196423,0.0416808,0.040211027,0.033712099,0.033745488,0.032849313,0.033553418,0.023629952,0.025695535,0.02272703,0.023409053,0.024219813,0.023923155,0.023184014
3882.004,0.039308524,0.042464718,0.042018333,0.041659746,0.040148251,0.033871614,0.033736785,0.032686609,0.033269158,0.023801997,0.02554755,0.022595099,0.023218646,0.024156025,0.024439344,0.024092332
3882.487,0.039432491,0.042540765,0.042079045,0.041638897,0.040088672,0.0340493,0.033749356,0.032526174,0.033022496,0.024077128,0.025452673,0.022546773,0.023101319,0.024177569,0.025099797,0.02517059
3882.969,0.039599726,0.04266382,0.042178797,0.041655209,0.040071367,0.034284157,0.033830939,0.032432423,0.032891055,0.024504925,0.025497488,0.022678559,0.023164312,0.024385791,0.025959722,0.026436001
3883.451,0.039817658,0.042844808,0.042333677,0.041728973,0.040113945,0.034590425,0.033994361,0.032424912,0.032890758,0.025069532,0.025691988,0.022995531,0.023416332,0.024785375,0.02699138,0.02783442
3883.933,0.04007039,0.043066779,0.042535027,0.041852695,0.040208185,0.034937018,0.034208575,0.032476828,0.032976021,0.025674961,0.025965926,0.023407464,0.023767743,0.025274131,0.028050866,0.029199994
3884.415,0.040327338,0.043297674,0.042753283,0.04199798,0.040325465,0.035270289,0.03441607,0.032525267,0.033055331,0.026183093,0.026194999,0.0237587,0.024060299,0.025684206,0.028945273,0.030332176
3884.897,0.040565853,0.043508269,0.042957348,0.042130214,0.040427165,0.035548584,0.034561832,0.032498048,0.03301947,0.026486461,0.026246659,0.02389411,0.02413081,0.025854727,0.029541933,0.031125752
3885.379,0.040769337,0.043677908,0.043120016,0.04221657,0.040476695,0.035747403,0.034608094,0.032338067,0.032784514,0.026539011,0.026032225,0.023712403,0.023869084,0.025690669,0.029808075,0.03159482
3885.861,0.040922535,0.043788597,0.04321403,0.042232729,0.040446906,0.035841938,0.034535061,0.03202778,0.032332903,0.026338175,0.02553481,0.023195263,0.023256518,0.025176764,0.029741764,0.031756152
3886.344,0.040994825,0.043815469,0.043211725,0.042164624,0.040327698,0.035790077,0.034334232,0.031595265,0.031726986,0.025893163,0.024811169,0.022403292,0.02236486,0.024363217,0.029309599,0.031535363
3886.826,0.040970683,0.043748285,0.043107771,0.04202199,0.040134498,0.035574974,0.034025203,0.031105188,0.031079999,0.025248825,0.023979762,0.021462911,0.02133889,0.023364818,0.028511129,0.030870273
3887.308,0.040870751,0.043613577,0.04293086,0.041838829,0.039906181,0.035238692,0.033664566,0.030638146,0.03050414,0.024517307,0.023177432,0.020537076,0.02034884,0.022347312,0.027474661,0.029867499
3887.79,0.040747896,0.043465781,0.042737708,0.041665965,0.039689332,0.034876836,0.033328257,0.030259814,0.030072369,0.023849815,0.022524137,0.019777919,0.019544107,0.021484355,0.026444352,0.02880786
3888.272,0.04065458,0.043358301,0.042580369,0.041542244,0.039519071,0.034579042,0.033077093,0.030005022,0.029809388,0.023367656,0.022082878,0.019277162,0.019005716,0.020889381,0.025644623,0.02797204
3888.754,0.040614128,0.043313125,0.042482051,0.041485608,0.039410926,0.034386807,0.03293179,0.029878156,0.029703987,0.023101938,0.021856953,0.019042296,0.018734997,0.020579343,0.025155858,0.027470127
3889.236,0.040606576,0.043314972,0.042431124,0.041482856,0.039356321,0.034271038,0.032865679,0.029856331,0.029724076,0.022986268,0.02179555,0.019008274,0.018669245,0.020481461,0.024888637,0.027194228
3889.718,0.04059471,0.043328911,0.042397874,0.04150763,0.039336935,0.034178494,0.032835448,0.029910162,0.029832799,0.022918014,0.02183467,0.019082358,0.018726814,0.020490218,0.024677298,0.026935367
3890.2,0.040550076,0.043325888,0.042357655,0.041535413,0.039337594,0.034069156,0.032809644,0.030014347,0.029996679,0.022823133,0.021923951,0.019191769,0.018843285,0.020526421,0.024408324,0.026551226
3890.683,0.040472951,0.043300697,0.042307856,0.04155351,0.039350079,0.033949304,0.032785673,0.030149178,0.030186797,0.022703436,0.022042709,0.01930925,0.018994202,0.020573582,0.024096327,0.026066042
3891.165,0.04038882,0.043268454,0.042263333,0.041562482,0.03937393,0.0338563,0.032780075,0.030299381,0.030376766,0.022613689,0.022188047,0.019440263,0.01917909,0.020657695,0.023849472,0.02563228
3891.647,0.040327744,0.043247463,0.042238843,0.041568038,0.039405191,0.033822662,0.032807303,0.030446409,0.03053881,0.022604075,0.022351121,0.019589784,0.019389527,0.020797119,0.023764055,0.025392741
3892.129,0.040301049,0.043239905,0.042235872,0.041567732,0.039434017,0.033846806,0.032857383,0.030562641,0.030644955,0.022676457,0.022501604,0.019735246,0.019588355,0.020967359,0.023846055,0.025382377
3892.611,0.040304017,0.043237893,0.042244838,0.041556619,0.039445689,0.033899382,0.032905936,0.030623075,0.030673921,0.022789308,0.02259778,0.01983475,0.019722715,0.021112122,0.024025116,0.025538792
3893.093,0.040325047,0.043234194,0.042255085,0.041533629,0.03943016,0.033948844,0.032929755,0.030616169,0.030620899,0.022896622,0.02261037,0.01985611,0.019752213,0.021180546,0.024218653,0.025773282
3893.575,0.040352821,0.043221771,0.042257749,0.041499168,0.039385653,0.033973141,0.032917591,0.030547167,0.03049918,0.022970161,0.022536577,0.019793963,0.019670332,0.021154366,0.024374876,0.026021604
3894.057,0.040378301,0.043201621,0.042254265,0.041463433,0.03932237,0.033970947,0.032876519,0.03044399,0.030344427,0.023014053,0.022410375,0.019680299,0.019514799,0.021061307,0.024490729,0.026260353
3894.54,0.04039691,0.043176936,0.042248937,0.04143927,0.039260558,0.033954663,0.032830358,0.030350339,0.030211795,0.023056737,0.022293615,0.019577703,0.019359458,0.020965205,0.024597545,0.026493262
3895.022,0.040402976,0.043152751,0.042249449,0.04143927,0.039225491,0.033943791,0.032807914,0.030319391,0.030164377,0.023140696,0.022263089,0.019565186,0.019298367,0.020951389,0.024743069,0.026734734
3895.504,0.04039556,0.043134447,0.042264665,0.041476178,0.039243101,0.033962575,0.032841199,0.030402054,0.030264223,0.023311583,0.022395936,0.019722488,0.019427732,0.021110295,0.02497864,0.027001586
3895.986,0.040374123,0.043128406,0.042303398,0.041559882,0.039338406,0.034033476,0.03295963,0.030641422,0.030561924,0.023610019,0.022756158,0.020114414,0.01982791,0.021516343,0.025347552,0.027309848
3896.468,0.040338124,0.043139152,0.0423699,0.041694054,0.039523994,0.034170123,0.033182139,0.031061286,0.03108729,0.024059863,0.023379626,0.020778901,0.020545099,0.022216412,0.025872642,0.027666852
