RamanShift,NBS2
1166.43,0.015193256
1167.4,0.014744229
1168.36,0.014280859
1169.32,0.013816483
1170.29,0.01336708
1171.25,0.012935219
1172.22,0.01252641
1173.18,0.012175305
1174.15,0.011860752
1175.11,0.011526797
1176.07,0.01115737
1177.04,0.010773724
1178,0.010399953
1178.97,0.010057533
1179.93,0.009733162
1180.9,0.009397313
1181.86,0.009068788
1182.82,0.008750331
1183.79,0.008401498
1184.75,0.008041113
1185.72,0.00770152
1186.68,0.007407195
1187.65,0.007150084
1188.61,0.006906
1189.57,0.00666137
1190.54,0.006397144
1191.5,0.006116057
1192.47,0.005845214
1193.43,0.005595606
1194.4,0.005361752
1195.36,0.0051411
1196.32,0.004933618
1197.29,0.004739287
1198.25,0.004525436
1199.22,0.004283607
1200.18,0.004082516
1201.14,0.003930388
1202.11,0.003780619
1203.07,0.003594794
1204.04,0.003389193
1205,0.003213573
1205.97,0.003103741
1206.93,0.003024128
1207.89,0.002866882
1208.86,0.002615035
1209.82,0.002440354
1210.79,0.002367882
1211.75,0.002320325
1212.72,0.002250313
1213.68,0.002152387
1214.64,0.002015222
1215.61,0.001841398
1216.57,0.001678461
1217.54,0.00157656
1218.5,0.001505307
1219.47,0.001433782
1220.43,0.001359389
1221.39,0.001296049
1222.36,0.001252117
1223.32,0.001202557
1224.29,0.001110534
1225.25,0.00098178
1226.21,0.000895053
1227.18,0.000839081
1228.14,0.000783084
1229.11,0.000724009
1230.07,0.000673403
1231.04,0.00065658
1232,0.00067104
1232.96,0.000657097
1233.93,0.000577577
1234.89,0.000486603
1235.86,0.00046655
1236.82,0.000475075
1237.79,0.000452072
1238.75,0.000386242
1239.71,0.000325981
1240.68,0.000311284
1241.64,0.000325326
1242.61,0.000313424
1243.57,0.000272871
1244.54,0.000249346
1245.5,0.000234513
1246.46,0.00022251
1247.43,0.000195914
1248.39,0.000163595
1249.36,0.000139734
1250.32,0.000130396
1251.28,0.000129705
1252.25,0.000134661
1253.21,0.000145538
1254.18,0.000144667
1255.14,0.000129365
1256.11,9.93294E-05
1257.07,5.1862E-05
1258.03,1.01117E-05
1259,1.19114E-05
1259.96,4.59676E-05
1260.93,7.11631E-05
1261.89,8.18806E-05
1262.86,0.00011005
1263.82,0.000164789
1264.78,0.000213742
1265.75,0.000224426
1266.71,0.000211703
1267.68,0.000210581
1268.64,0.000239051
1269.61,0.000282179
1270.57,0.000307781
1271.53,0.000309755
1272.5,0.000320458
1273.46,0.000337219
1274.43,0.000347928
1275.39,0.000352833
1276.35,0.000366643
1277.32,0.000416015
1278.28,0.000480488
1279.25,0.000494265
1280.21,0.000421666
1281.18,0.000375644
1282.14,0.000437259
1283.1,0.00054086
1284.07,0.0006505
1285.03,0.000748475
1286,0.000807479
1286.96,0.000827659
1287.93,0.000829679
1288.89,0.000876966
